TAB,Ancillary QC VARIABLES,Name,TYPE,SHAPE,UNITS,VALIDMIN,VALIDMAX,FILLVALUE,LONGNAME,FLAGVALUES,AXIS,COORDINATES,CFROLE,SCALEFACTOR,ADDOFFSET,SCALEDTYPE,FLAGMEANINGS,STANDARDNAME,Comment,MISSINGVALUE,POSITIVE,KEYWORDS
,,QI6-IMMT_QC_AT,char,station time,,0,9,blank,QC Flag - air temperature,0 1 2 3 4 5 6 7 8 9,,time alt lat lon,,1,,integer,no_qc_performed element_appears_correct element_appears_incosistent_with_other_elements element_appears_doubtful element_appears_erroneous element_changed_possibly_to_missing_as_a_result_of_QC element_flagged_by_CM_as_correct_but_according_to_MQCS_still_appears_suspect_or_missing element_flagged_by_CM_as_changed_but_according_to_MQCS_still_appears_suspect reserved element_is_missing,,QC Flag - air temperature,,,
,,QI7-IMMT_QC_DPT,char,station time,,0,9,blank,QC Flag - dew point temperature,0 1 2 3 4 5 6 7 8 9,,time alt lat lon,,1,,integer,no_qc_performed element_appears_correct element_appears_incosistent_with_other_elements element_appears_doubtful element_appears_erroneous element_changed_possibly_to_missing_as_a_result_of_QC element_flagged_by_CM_as_correct_but_according_to_MQCS_still_appears_suspect_or_missing element_flagged_by_CM_as_changed_but_according_to_MQCS_still_appears_suspect reserved element_is_missing,,QC Flag - dew point temperature,,,
,,QI8-IMMT_QC_PRESS,char,station time,,0,9,blank,QC Flag - air pressure,0 1 2 3 4 5 6 7 8 9,,time alt lat lon,,1,,integer,no_qc_performed element_appears_correct element_appears_incosistent_with_other_elements element_appears_doubtful element_appears_erroneous element_changed_possibly_to_missing_as_a_result_of_QC element_flagged_by_CM_as_correct_but_according_to_MQCS_still_appears_suspect_or_missing element_flagged_by_CM_as_changed_but_according_to_MQCS_still_appears_suspect reserved element_is_missing,,QC Flag - air pressure,,,
,,QI9-IMMT_QC_WX,char,station time,,0,9,blank,QC Flag - weather,0 1 2 3 4 5 6 7 8 9,,time alt lat lon,,1,,integer,no_qc_performed element_appears_correct element_appears_incosistent_with_other_elements element_appears_doubtful element_appears_erroneous element_changed_possibly_to_missing_as_a_result_of_QC element_flagged_by_CM_as_correct_but_according_to_MQCS_still_appears_suspect_or_missing element_flagged_by_CM_as_changed_but_according_to_MQCS_still_appears_suspect reserved element_is_missing,,QC Flag - weather,,,
,,QI10-IMMT_QC_SST,char,station time,,0,9,blank,QC Flag - sea surface temperature,0 1 2 3 4 5 6 7 8 9,,time alt lat lon,,1,,integer,no_qc_performed element_appears_correct element_appears_incosistent_with_other_elements element_appears_doubtful element_appears_erroneous element_changed_possibly_to_missing_as_a_result_of_QC element_flagged_by_CM_as_correct_but_according_to_MQCS_still_appears_suspect_or_missing element_flagged_by_CM_as_changed_but_according_to_MQCS_still_appears_suspect reserved element_is_missing,,QC Flag - sea surface temperature,,,
,,QI11-IMMT_QC_WAVE_PER,char,station time,,0,9,blank,QC Flag - period of wind waves,0 1 2 3 4 5 6 7 8 9,,time alt lat lon,,1,,integer,no_qc_performed element_appears_correct element_appears_incosistent_with_other_elements element_appears_doubtful element_appears_erroneous element_changed_possibly_to_missing_as_a_result_of_QC element_flagged_by_CM_as_correct_but_according_to_MQCS_still_appears_suspect_or_missing element_flagged_by_CM_as_changed_but_according_to_MQCS_still_appears_suspect reserved element_is_missing,,QC Flag - period of wind waves,,,
,,QI12-IMMT_QC_WAVE_HGT,char,station time,,0,9,blank,QC Flag - height of wind waves,0 1 2 3 4 5 6 7 8 9,,time alt lat lon,,1,,integer,no_qc_performed element_appears_correct element_appears_incosistent_with_other_elements element_appears_doubtful element_appears_erroneous element_changed_possibly_to_missing_as_a_result_of_QC element_flagged_by_CM_as_correct_but_according_to_MQCS_still_appears_suspect_or_missing element_flagged_by_CM_as_changed_but_according_to_MQCS_still_appears_suspect reserved element_is_missing,,QC Flag - height of wind waves,,,
,,QI13-IMMT_QC_SWELL,char,station time,,0,9,blank,QC Flag - swell,0 1 2 3 4 5 6 7 8 9,,time alt lat lon,,1,,integer,no_qc_performed element_appears_correct element_appears_incosistent_with_other_elements element_appears_doubtful element_appears_erroneous element_changed_possibly_to_missing_as_a_result_of_QC element_flagged_by_CM_as_correct_but_according_to_MQCS_still_appears_suspect_or_missing element_flagged_by_CM_as_changed_but_according_to_MQCS_still_appears_suspect reserved element_is_missing,,QC Flag - swell,,,
,,QI14-IMMT_QC_PRECIP,char,station time,,0,9,blank,QC Flag - precipitation,0 1 2 3 4 5 6 7 8 9,,time alt lat lon,,1,,integer,no_qc_performed element_appears_correct element_appears_incosistent_with_other_elements element_appears_doubtful element_appears_erroneous element_changed_possibly_to_missing_as_a_result_of_QC element_flagged_by_CM_as_correct_but_according_to_MQCS_still_appears_suspect_or_missing element_flagged_by_CM_as_changed_but_according_to_MQCS_still_appears_suspect reserved element_is_missing,,QC Flag - precipitation,,,
,,QI15-IMMT_QC_CHAR_PPP,char,station time,,0,9,blank,QC Flag - characteristic of pressure tendency,0 1 2 3 4 5 6 7 8 9,,time alt lat lon,,1,,integer,no_qc_performed element_appears_correct element_appears_incosistent_with_other_elements element_appears_doubtful element_appears_erroneous element_changed_possibly_to_missing_as_a_result_of_QC element_flagged_by_CM_as_correct_but_according_to_MQCS_still_appears_suspect_or_missing element_flagged_by_CM_as_changed_but_according_to_MQCS_still_appears_suspect reserved element_is_missing,,QC Flag - characteristic of pressure tendency,,,
,,QI16-IMMT_QC_PRESS_TEND,char,station time,,0,9,blank,QC Flag - amount of pressure tendency,0 1 2 3 4 5 6 7 8 9,,time alt lat lon,,1,,integer,no_qc_performed element_appears_correct element_appears_incosistent_with_other_elements element_appears_doubtful element_appears_erroneous element_changed_possibly_to_missing_as_a_result_of_QC element_flagged_by_CM_as_correct_but_according_to_MQCS_still_appears_suspect_or_missing element_flagged_by_CM_as_changed_but_according_to_MQCS_still_appears_suspect reserved element_is_missing,,QC Flag - amount of pressure tendency,,,
,,QI17-IMMT_QC_SHIP_COURSE,char,station time,,0,9,blank,QC Flag - true direction of ship,0 1 2 3 4 5 6 7 8 9,,time alt lat lon,,1,,integer,no_qc_performed element_appears_correct element_appears_incosistent_with_other_elements element_appears_doubtful element_appears_erroneous element_changed_possibly_to_missing_as_a_result_of_QC element_flagged_by_CM_as_correct_but_according_to_MQCS_still_appears_suspect_or_missing element_flagged_by_CM_as_changed_but_according_to_MQCS_still_appears_suspect reserved element_is_missing,,QC Flag - true direction of ship,,,
,,QI18-IMMT_QC_SHIP_SPEED,char,station time,,0,9,blank,QC Flag - ship's average speed,0 1 2 3 4 5 6 7 8 9,,time alt lat lon,,1,,integer,no_qc_performed element_appears_correct element_appears_incosistent_with_other_elements element_appears_doubtful element_appears_erroneous element_changed_possibly_to_missing_as_a_result_of_QC element_flagged_by_CM_as_correct_but_according_to_MQCS_still_appears_suspect_or_missing element_flagged_by_CM_as_changed_but_according_to_MQCS_still_appears_suspect reserved element_is_missing,,QC Flag - ship's average speed,,,
,,QI19-IMMT_QC_WBT,char,station time,,0,9,blank,QC Flag - wet bulb temperature,0 1 2 3 4 5 6 7 8 9,,time alt lat lon,,1,,integer,no_qc_performed element_appears_correct element_appears_incosistent_with_other_elements element_appears_doubtful element_appears_erroneous element_changed_possibly_to_missing_as_a_result_of_QC element_flagged_by_CM_as_correct_but_according_to_MQCS_still_appears_suspect_or_missing element_flagged_by_CM_as_changed_but_according_to_MQCS_still_appears_suspect reserved element_is_missing,,QC Flag - wet bulb temperature,,,
,,QI20-IMMT_QC_SHIP_POS,char,station time,,0,9,blank,QC Flag - ship's position,0 1 2 3 4 5 6 7 8 9,,time alt lat lon,,1,,integer,no_qc_performed element_appears_correct element_appears_incosistent_with_other_elements element_appears_doubtful element_appears_erroneous element_changed_possibly_to_missing_as_a_result_of_QC element_flagged_by_CM_as_correct_but_according_to_MQCS_still_appears_suspect_or_missing element_flagged_by_CM_as_changed_but_according_to_MQCS_still_appears_suspect reserved element_is_missing,,QC Flag - ship's position,,,
,,QI21-MQCS_VER,char,station time,,0,9,blank,Version of Minimum QC Standards (MQCS),blank,,time alt lat lon,,1,,integer,,,Version of Minimum QC Standards (MQCS),,,
,QI22-IMMT_QC_SHIP_HEADING,HDG-SHIP_HEADING,char,station time,degrees,0,360,blank,Ship's Heading,blank,,time alt lat lon,,1,,integer,,,Ship's Heading - whole degrees (true North),,,
,QI23-IMMT_QC_COURSE_OVER_GROUND,COG-COURSE_OVER_GROUND,char,station time,degrees,0,360,blank,Ship's Course Over Ground,blank,,time alt lat lon,,1,,integer,,,Ship's course over ground - whole degrees (true North),,,
,QI24-IMMT_QC_SHIP_SPEED_OVER_GROUND,SOG-SPEED_OVER_GROUND,char,station time,knots,0,99,blank,Ship's Speed Over Ground,blank,,time alt lat lon,,1,,integer,,,Ship's speed over ground - whole knots,,,
,QI25-IMMT_QC_MAX_HT_SUM_LOAD,SLL-MAX_HT_SUM_LOAD,char,station time,meters,0,99,blank,Maximum Height of Cargo Above Max Summer Load Line,blank,,time alt lat lon,,1,,integer,,,Max height above Summer load line - whole meter,,,
,QI27-IMMT_QC_DEP_SUM_LOAD,SLHH-DEP_LOAD_IN,char,station time,meters,-99,99,blank,Departure from Maximum Height of Cargo Above Max Summer Load Line,blank,,time alt lat lon,,1,,integer,,,Departure of Summer load line from sea level,,,
,QI28-IMMT_QC_REL_WIND_DIR,RWD-REL_WIND_DIR,char,station time,degrees,1,362,blank,Relative Wind Direction,blank,,time alt lat lon,,1,,integer,,,Relative wind direction - whole degrees,,,
,QI29-IMMT_QC_REL_WIND_SPEED,RWS-REL_WIND_SPEED,char,station time,m/s,0,99.9,blank,Relative Wind Speed,blank,,time alt lat lon,,0.1,,double,,,Relative wind speed - whole knots or whole m/s per iw,,,
,,QI22-IMMT_QC_SHIP_HEADING,char,station time,,0,9,blank,QC Flag - ship's heading,blank,,time alt lat lon,,1,,integer,,,QC Flag - ship's heading,,,
,,QI23-IMMT_QC_COURSE_OVER_GROUND,char,station time,,0,9,blank,QC Flag - ship's course over ground,blank,,time alt lat lon,,1,,integer,,,QC Flag - ship's course over ground,,,
,,QI24-IMMT_QC_SHIP_SPEED_OVER_GROUND,char,station time,,0,9,blank,QC Flag - ship's speed over ground,blank,,time alt lat lon,,1,,integer,,,QC Flag - ship's speed over ground,,,
,,QI25-IMMT_QC_MAX_HT_SUM_LOAD,char,station time,,0,9,blank,QC Flag - summer load line,blank,,time alt lat lon,,1,,integer,,,QC Flag - summer load line,,,
,,QI26-NOT_USED,,,,,,blank,,blank,,,,,,,,,NOT USED,,,
,,QI27-IMMT_QC_DEP_SUM_LOAD,char,station time,,0,9,blank,QC Flag - departure from summer load line,blank,,time alt lat lon,,1,,integer,,,QC Flag - departure from summer load line,,,
,,QI28-IMMT_QC_REL_WIND_DIR,char,station time,,0,9,blank,QC Flag - relative wind direction,blank,,time alt lat lon,,1,,integer,,,QC Flag - relative wind direction,,,
,,QI29-IMMT_QC_REL_WIND_SPEED,char,station time,,0,9,blank,QC Flag - relative wind speed,blank,,time alt lat lon,,1,,integer,,,QC Flag - relative wind speed,,,
,RF-TRIMMING_FLAG_RH,RH-RH,char,station time,,0,100,blank,Relative Humidity,blank,,time alt lat lon,,0.1,,double,,,Relative humidity - tenths percentage,,,
,RF-TRIMMING_FLAG_RH,RHI-RH_IND,char,station time,,0,4,blank,Relative Humidity Indicator,blank,,time alt lat lon,,1,,integer,,,Relative humidity originally reported units,,,
,,AWSI-AWS_IND,char,station time,,0,2,blank,Automatic Weather Station Indicator,blank,,time alt lat lon,,1,,integer,,,Automated weather station indicator,,,
,,IMONO-IMO_NUM,char,station time,,0,9999999,blank,IMO Number,blank,,time alt lat lon,,1,,integer,,,IMO Number,,,
,,ATTI-ATTM_IND3,char,station time,,6,6,blank,Attachment Indicator 3,blank,,time alt lat lon,,1,,integer,,,ATTI=6 - Modqc attm,,,
,,ATTL-ATTM_LEN3,char,station time,,68,68,blank,Attachment Length 3,blank,,time alt lat lon,,1,,integer,,,ATTM Length = 68 Characters,,,
,,CCCC-CCCC,char,station time,,65,90,blank,Collecting Center,blank,,time alt lat lon,,1,,char,,,Collecting center,,,
,,BUID-BUID,char,station time,,48,57,blank,Bulletin ID,blank,,time alt lat lon,,1,,char,,,Bulletin ID,,,
,,FBSRC-FBSRC,char,station time,,0,0,blank,Feedback Source,blank,,time alt lat lon,,1,,integer,,,Feedback source (NWP; Reanalysis),,,
,,BMP-BMP,char,station time,hPa,870,1074.6,blank,Background Sea Level Pressure,blank,,time alt lat lon,,0.1,,double,,,Background SLP - tenth hPa,,,
,,BSWU-BSWU,char,station time,m/s,-99.9,99.9,blank,Background Wind U Component,blank,,time alt lat lon,,0.1,,double,,,Background wind U component - tenths m/s,,,
,,SWU-SWU,char,station time,m/s,-99.9,99.9,blank,Derived Wind U Component,blank,,time alt lat lon,,0.1,,double,,,Derived wind U component  - tenths m/s,,,
,,BSWV-BSWV,char,station time,m/s,-99.9,99.9,blank,Background Wind V Component,blank,,time alt lat lon,,0.1,,double,,,Background wind V component  - tenths m/s,,,
,,SWV-SWV,char,station time,m/s,-99.9,99.9,blank,Derived Wind V Component,blank,,time alt lat lon,,0.1,,double,,,Derived wind V component  - tenths m/s,,,
,,BSAT-BSAT,char,station time,celsius,-99.9,99.9,blank,Background Air Temperature,blank,,time alt lat lon,,0.1,,double,,,Background air temperature  - tenths celsius,,,
,,BSRH-BSRH,char,station time,%,0,100,blank,Background Relative Humidity,blank,,time alt lat lon,,1,,integer,,,Background relative humidity - whole percentage,,,
,,SRH-SRH,char,station time,%,0,100,blank,Derived Relative Humidity,blank,,time alt lat lon,,1,,integer,,,Derived relative humidity - whole percentage,,,
,,BSST-BSST,char,station time,celsius,-99.99,99.99,blank,Background SST,blank,,time alt lat lon,,0.01,,double,,,Background SST - hundredths celsius,,,
,,MST-MST,char,station time,,0,9,blank,Model Surface Type,blank,,time alt lat lon,,1,,integer,,,Model surface type (BUFR Table 008204),,,
,,MSH-MSH,char,station time,meters,-999,9999,blank,Model Surface Height,blank,,time alt lat lon,,1,,integer,,,Model surface height - whole meters,,,
,,BY-BY1,char,station time,,0,9999,blank,Background Year,blank,,time alt lat lon,,1,,integer,,,,,,
,,BM-BM1,char,station time,,1,12,blank,Background Month,blank,,time alt lat lon,,1,,integer,,,,,,
,,BD-BD1,char,station time,,1,31,blank,Background Day,blank,,time alt lat lon,,1,,integer,,,,,,
,,BH-BH1,char,station time,,0,23,blank,Background Hour,blank,,time alt lat lon,,1,,integer,,,,,,
,,BFL-BFL,char,station time,,0,99,blank,Time Period Displacement,blank,,time alt lat lon,,1,,integer,,,Time period or displacement - minutes,,,
,,ATTI-ATTM_IND4,char,station time,,7,7,blank,Attachment Indicator 4,blank,,time alt lat lon,,1,,integer,,,ATTI=7 - Meta-vos attm,,,
,,ATTL-ATTM_LEN4,char,station time,,58,58,blank,Attachment Length 4,blank,,time alt lat lon,,1,,integer,,,ATTM Length = 58 Characters,,,
,,MDS-META_SRC,char,station time,,0,1,blank,Metadata Source,blank,,time alt lat lon,,1,,integer,,,Metadata source (WMO; COAPS etc),,,
,,C1M-RECRUIT_COUNTRY,char,station time,,65,90,blank,Recruiting Country,blank,,time alt lat lon,,1,,char,,,Recruiting country,,,
,,OPM-SHIP_TYPE,char,station time,,0,99,blank,Ship Type,blank,,time alt lat lon,,1,,integer,,,Type of ship,,,
,,KOV-KIND_OF_VESSEL,char,station time,,32,126,blank,Kind of Vessel,blank,,time alt lat lon,,1,,char,,,Kind of vessel,,,
,,COR-COUNTRY_OF_REGISTER,char,station time,,65,90,blank,Country of Register,blank,,time alt lat lon,,1,,char,,,Country of registry,,,
,,TOB-BAR_TYPE,char,station time,,32,126,blank,Barometer Type,blank,,time alt lat lon,,1,,char,,,Type of barometer,,,
,,TOT-THERM_TYPE,char,station time,,32,126,blank,Thermometer Type,blank,,time alt lat lon,,1,,char,,,Type of thermometer,,,
,,EOT-THERM_EXPOSURE,char,station time,,32,126,blank,Thermometer Exposure,blank,,time alt lat lon,,1,,char,,,Exposure of thermometer,,,
,,LOT-SCREEN_LOCATION,char,station time,,32,126,blank,Screen Location,blank,,time alt lat lon,,1,,char,,,Screen location,,,
,,TOH-HYGRO_TYPE,char,station time,,32,126,blank,Hygrometer Type,blank,,time alt lat lon,,1,,char,,,Type of hygrometer,,,
,,EOH-HYGRO_EXPOSURE,char,station time,,32,126,blank,Hygrometer Exposure,blank,,time alt lat lon,,1,,char,,,Exposure of hygrometer,,,
,,SIM-SST_METHOD,char,station time,,32,126,blank,SST Method,blank,,time alt lat lon,,1,,char,,,SST measurement method,,,
,,LOV-VESSEL_LENGTH,char,station time,meters,0,999,blank,Vessel Length,blank,,time alt lat lon,,1,,integer,,,Length of vessel,,,
,,DOS-SST_DEPTH,char,station time,meters,0,99,blank,SST Depth,blank,,time alt lat lon,,1,,integer,,,Depth of sst measurement,,,
,,HOP-HGT_VISUAL_OBS_PLATFORM,char,station time,meters,0,999,blank,Height of Visual Observation Platform,blank,,time alt lat lon,,1,,integer,,,Height of visual observation platform,,,
,,HOT-HGT_AT_SENSOR,char,station time,meters,0,999,blank,Height of Air Temperature Sensor,blank,,time alt lat lon,,1,,integer,,,Height of air temperature sensor,,,
,,HOB-HGT_BAR,char,station time,meters,0,999,blank,Height of Barometer,blank,,time alt lat lon,,1,,integer,,,Height of barometer,,,
,,HOA-HGT_ANEMOMETER,char,station time,meters,0,999,blank,Height of Anemometer,blank,,time alt lat lon,,1,,integer,,,Height of anemometer,,,
,,SMF-SRC_META_FILE,char,station time,,0,99999,blank,Source Metadata File,blank,,time alt lat lon,,1,,integer,,,Source metadata file,,,
,,SME-SRC_META_ELEMENT,char,station time,,0,99999,blank,Source Metadata Element,blank,,time alt lat lon,,1,,integer,,,Source metadata element,,,
,,SMV-SRC_FORMAT_VER,char,station time,,0,99,blank,Source Metadata Format Version,blank,,time alt lat lon,,1,,integer,,,Source format version,,,
,,ATTI-ATTM_IND5,char,station time,,8,8,blank,Attachment Indicator 5,blank,,time alt lat lon,,1,,integer,,,ATTI=8 - Nocn attm,,,
,,ATTL-ATTM_LEN5,char,station time,,102,102,blank,Attachment Length 5,blank,,time alt lat lon,,1,,integer,,,ATTM Length = 102 Characters,,,
,,OTV-SST2,char,station time,celsius,-3,38.999,blank,SST 2,blank,,time alt lat lon,,0.001,,double,,sea_water_temperature,Nocn Sea surface temperature - thousandths degree celsius,,,Oceans > Ocean Temperature > Water Temperature 
,,OTZ-SST_DEPTH2,char,station time,meters,0,99.99,blank,SST Depth 2,blank,,time alt lat lon,,0.01,,double,,,Nocn SST depth - hundredths meter,,,
,,OSV-SALINITY,char,station time,1.00E-03,0,40.999,blank,Salinity,blank,,time alt lat lon,,0.001,,double,,sea_water_salinity,Nocn Salinity -unitless,,,Oceans > Salinity/Density > Salinity 
,,OSZ-SALINITY_DEPTH,char,station time,meters,0,99.99,blank,Salinity Depth,blank,,time alt lat lon,,0.01,,double,,,Nocn Salinity depth - hundredths meter,,,
,,OOV-DIS_OXYGEN,char,station time,milliliters/liter,0,12.99,blank,Dissolved Oxygen,blank,,time alt lat lon,,0.01,,double,,volume_fraction_of_oxygen_in_sea_water,Nocn Dissolved oxygen - hundredths milliliter/liter,,,Oceans > Ocean Chemistry > Oxygen
,,OOZ-DIS_OXYGEN_DEPTH,char,station time,meters,0,99.99,blank,Dissolved Oxygen Depth,blank,,time alt lat lon,,0.01,,double,,,Nocn Dissolved oxygen depth - hundredths meter,,,
,,OPV-PHOSPHATE,char,station time,micromole/liter,0,30.99,blank,Phosphate,blank,,time alt lat lon,,0.01,,double,,mole_concentration_of_phosphate_in_sea_water,Nocn Phosphate - micromole/liter,,,Oceans > Ocean Chemistry > Phosphate 
,,OPZ-PHOSPHATE_DEPTH,char,station time,meters,0,99.99,blank,Phosphate Depth,blank,,time alt lat lon,,0.01,,double,,,Nocn Phosphate depth - hundredths meter,,,
,,OSIV-SILICATE,char,station time,micromole/liter,0,250.99,blank,Silicate,blank,,time alt lat lon,,0.01,,double,,mole_concentration_of_silicate_in_sea_water,Nocn Silicate - hundredths micromole/liter,,,Oceans > Ocean Chemistry > Silicate
,,OSIZ-SILICATE_DEPTH,char,station time,meters,0,99.99,blank,Silicated Depth,blank,,time alt lat lon,,0.01,,double,,,Nocn Silicate depth - hundredths meter,,,
,,ONV-NITRATE,char,station time,micromole/liter,0,500.99,blank,Nitrate,blank,,time alt lat lon,,0.01,,double,,mole_concentration_of_nitrate_in_sea_water,Nocn Nitrate - hundredths micromole/liter,,,Oceans > Ocean Chemistry > Nitrate
,,ONZ-NITRATE_DEPTH,char,station time,meters,0,99.99,blank,Nitrate Depth,blank,,time alt lat lon,,0.01,,double,,,Nocn Nitrate depth - hundredths meter,,,
,,OPHV-PH,char,station time,1,6.2,9.2,blank,PH,blank,,time alt lat lon,,0.01,,double,,sea_water_ph_reported_on_total_scale,Nocn PH - unitless,,,Oceans > Ocean Chemistry > pH 
,,OPHZ-PH_DEPTH,char,station time,meters,0,99.99,blank,PH Depth,blank,,time alt lat lon,,0.01,,double,,,Nocn PH depth - hundredths meter,,,
,,OCV-TTL_CHLORO,char,station time,micrograms/liter,0,50.99,blank,Total Chlorophyll,blank,,time alt lat lon,,0.01,,double,,mass_concentration_of_chlorophyll_in_sea_water,Nocn total chlorophyll - hundredths microgram/liter,,,
,,OCZ-TTL_CHLORO_DEPTH,char,station time,meters,0,99.99,blank,Total Chlorophyll Depth,blank,,time alt lat lon,,0.01,,double,,,Nocn total chlorophyll depth - hundredths meter,,,Oceans > Ocean Chemistry > Chlorophyll 
,,OAV-ALKALINITY,char,station time,millequivalent/liter,0,3.1,blank,Alkalinity,blank,,time alt lat lon,,0.01,,double,,sea_water_alkalinity_expressed_as_mole_equivalent,Nocn Alkalinity - tenth millequivalent/liter,,,
,,OAZ-ALKALINITY_DEPTH,char,station time,meters,0,99.99,blank,Alkalinity Depth,blank,,time alt lat lon,,0.01,,double,,,Nocn Alkalinity depth - hundredths meter,,,Oceans > Ocean Chemistry > Alkalinity
,,OPCV-PP_CO2,char,station time,microatmosphere,0,999,blank,Partial Pressure of Carbon Dioxide,blank,,time alt lat lon,,0.1,,double,,surface_carbon_dioxide_partial_pressure_difference_between_air_and_sea_water,Nocn Partial pressure of CO2 - tenth microatmosphere,,,Atmosphere > Atmospheric Chemistry > Carbon and Hydrocarbon Compounds > Carbon Dioxide 
,,OPCZ-PP_CO2_DEPTH,char,station time,meters,0,99.99,blank,Partial Pressure of Carbon Dioxide Depth,blank,,time alt lat lon,,0.01,,double,,, Nocn Partial pressure of CO2 depth - hundredths meter,,,
,,ODV-DIS_ORG_CARBON,char,station time,millimole/liter,0,4,blank,Dissolved Inorganic Carbon,blank,,time alt lat lon,,0.1,,double,,mole_concentration_of_dissolved_inorganic_carbon_in_sea_water,Nocn Dissolved inorganic carbon - tenths millimole/liter,,,Oceans > Ocean Chemistry > Inorganic Carbon 
,,ODZ-DIS_ORG_CARBON_DEPTH,char,station time,meters,0,99.99,blank,Dissolved Inorganic Carbon Depth,blank,,time alt lat lon,,0.01,,double,,,Nocn Dissolved inorganic carbon depth - hundredths meter,,,
,,PUID-PROVIDER_UID,char,station time,,48,57,blank,Provider's Unique Record Identification,blank,,time alt lat lon,,1,,char,,,Unique ID from original source data,,,
,,ATTI-ATTM_IND6,char,station time,,9,9,blank,Attachment Indicator 6,blank,,time alt lat lon,,1,,integer,,,ATTI=9 - Ecr attm,,,
,,ATTL-ATTM_LEN6,char,station time,,32,32,blank,Attachment Length 6,blank,,time alt lat lon,,1,,integer,,,ATTM Length = 32 Characters,,,
,,CCE-CHANGE_CODE,char,station time,,0,13,blank,Change Code,blank,,time alt lat lon,,1,,integer,,,Ecr change code - IMMA Table C9b,,,
,,WWE-PRES_WX_ECR,char,station time,,0,99,blank,Extended Cloud Reconstructions Present Weather,blank,,time alt lat lon,,1,,integer,,,Ecr present weather,,,
,,NE-TTL_CLD_AMT_ECR,char,station time,,0,8,blank,Extended Cloud Reconstructions Total Cloud Amount,blank,,time alt lat lon,,1,,integer,,cloud_area_fraction,Ecr total cloud amount,,,Atmosphere > Clouds > Cloud Amount/Frequency 
,,NHE-LOW_CLD_AMT_ECR,char,station time,,0,8,blank,Extended Cloud Reconstructions Low Cloud Amount,blank,,time alt lat lon,,1,,integer,,low_type_cloud_area_fraction,Ecr low cloud amount,,,Atmosphere > Clouds > Cloud Amount/Frequency 
,,HE-LOW_CLD_HGT_ECR,char,station time,m,0,9,blank,Extended Cloud Reconstructions Low Cloud Height,blank,,time alt lat lon,,1,,integer,,cloud_base_altitude,Ecr low cloud height,,,Atmosphere > Clouds > Cloud Base 
,,CLE-LOW_CLD_TYPE_ECR,char,station time,,0,11,blank,Extended Cloud Reconstructions Low Cloud Type,blank,,time alt lat lon,,1,,integer,,,Ecr low cloud type,,,
,,CME-MID_CLD_TYPE_ECR,char,station time,,0,12,blank,Extended Cloud Reconstructions Middle Cloud Type,blank,,time alt lat lon,,1,,integer,,,Ecr mid cloud type,,,
,,CHE-HI_CLD_TYPE_ECR,char,station time,,0,9,blank,Extended Cloud Reconstructions High Cloud Type,blank,,time alt lat lon,,1,,integer,,,Ecr high cloud type,,,
,,AM-MID_CLD_AMT_ECR,char,station time,oktas,0,8,blank,Extended Cloud Reconstructions Middle Cloud Amount,blank,,time alt lat lon,,0.01,,double,,,Ecr mid cloud amount - hundredths oktas,,,
,,AH-HI_CLD_AMT_ECR,char,station time,oktas,0,8,blank,Extended Cloud Reconstructions High Cloud Amount,blank,,time alt lat lon,,0.01,,double,,,Ecr high cloud amount - hundredths oktas,,,
,,UM-NOL_MID_AMT_ECR,char,station time,oktas,0,8,blank,Extended Cloud Reconstructions NOL Middle Cloud Amount,blank,,time alt lat lon,,1,,integer,,,Ecr NOL mid cloud amount - whole oktas,,,
,,UH-NOL_HIGH_AMT_ECR,char,station time,oktas,0,8,blank,Extended Cloud Reconstructions NOL High Cloud Amount,blank,,time alt lat lon,,1,,integer,,,Ecr NOL high cloud amount - whole oktas,,,
,,SBI-SKY_BRIGHT_IND,char,station time,,0,1,blank,Sky Brightness Indicator,blank,,time alt lat lon,,1,,integer,,,Ecr sky brightness indicator,,,
,,SA-SOLAR_ALT,char,station time,degrees,-90,90,blank,Solar Altitude,blank,,time alt lat lon,,0.1,,double,,,Ecr solar altitude - tenths degrees,,,
,,RI-REL_LUNAR_ILLUM,char,station time,,-1.1,1.17,blank,Relative Lunar Illuminance,blank,,time alt lat lon,,0.01,,double,,,Ecr realtive lunar illuminance - hundredths,,,
,,ATTI-ATTM_IND7,char,station time,,96,96,blank,Attachment Indicator 7,blank,,time alt lat lon,,1,,integer,,,ATTI=96 - Ivad attm,,,
,,ATTL-ATTM_LEN7,char,station time,,48,48,blank,Attachment Length 7,blank,,time alt lat lon,,1,,integer,,,ATTM Length = 48 Characters,,,
,,ICNI-INPUT_COMP_NUM,char,station time,,0,99,blank,Input Component Number,blank,,time alt lat lon,,1,,integer,,,Ivad Input component number,,,
,,FNI-FIELD_NUM,char,station time,,1,99,blank,Field Number,blank,,time alt lat lon,,1,,integer,,,IMMA field number of value being adjusted,,,
,,JVAD-VAD_SCALE_FACTOR,char,station time,,1,35,blank,Value-Added Data Scale Factor,blank,,time alt lat lon,,1,,char,,,Scaling factor for value-added data,,,
,,VAD-VALUE_ADDED,char,station time,,-99999,999999,blank,Value-Added Data,blank,,time alt lat lon,,1,,double,,,Value-added data (VAD) value,,,
,,IVAU1-TYPE_IND_VAU1,char,station time,,1,35,blank,Type Indicator for VAU1,blank,,time alt lat lon,,1,,char,,,Adjustment Type Indicator for VAU1,,,
