TAB,Ancillary QC VARIABLES,Name,TYPE,SHAPE,UNITS,VALIDMIN,VALIDMAX,FILLVALUE,LONGNAME,FLAGVALUES,AXIS,COORDINATES,CFROLE,SCALEFACTOR,ADDOFFSET,SCALEDTYPE,FLAGMEANINGS,STANDARDNAME,Comment,MISSINGVALUE,POSITIVE,KEYWORDS
,,PQA-ADAPTIVE_QC_FLAG_SLP,char,station time,,1,21,blank,Adaptive QC Flag - Sea Leve Pressure,blank,,time alt lat lon,,1,,integer,,,QC SLP,,,
,,DQZ-ADAPTIVE_QC_FLAG_DPT,char,station time,,1,35,blank,Adaptive QC Flag - Dew Point Temperature,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35,,time alt lat lon,,1,,integer,minus_8.5_sigma minus_8.0_sigma minus_7.5_sigma minus_7.0_sigma minus_6.5_sigma minus_6.0_sigma minus_5.5_sigma minus_5.0_sigma minus_4.5_sigma minus_4.0_sigma minus_3.5_sigma minus_3.0_sigma minus_2.5_sigma minus_2.0_sigma minus_1.5_sigma minus_1.0_sigma minus_0.5_sigma 0_sigma 0.5_sigma 1.0_sigma 1.5_sigma 2.0_sigma 2.5_sigma 3.0_sigma 3.5_sigma 4.0_sigma 4.5_sigma 5.0_sigma 5.5_sigma 6.0_sigma 6.5_sigma 7.0_sigma 7.5_sigma 8.0_sigma 8.5_sigma,,QC DPT http://icoads.noaa.gov/images/aqc_tab1.gif,,,
,,DQA-ADAPTIVE_QC_FLAG_DPT,char,station time,,1,21,blank,Adaptive QC Flag - Dew Point Temperature,blank,,time alt lat lon,,1,,integer,,,QC DPT,,,
,,ND-NIGHT_DAY_FLAG,char,station time,,1,2,blank,Night/Day Flag,1 2,,time alt lat lon,,1,,integer,report_time_is_local_nighttime report_time_is_local_daytime,,Indicates if report taken during day or night,,,
,,SF-TRIMMING_FLAG_SST,char,station time,,1,15,blank,Trimming Flag - SST,1 2 3 4 5 6 7 11 12 13 14 15,,time alt lat lon,,1,,integer,within_plus_minus_2.8_sigma minus_3.5_sigma_to_minus_2.8_sigma 2.8_sigma_to_3.5_sigma minus_4.5_sigma_to_minus_3.5_sigma 3.5_sigma_to_4.5_sigma less_than_minus_4.5_sigma greater_than_4.5_sigma limits_missing_ocean_coastal_box_MEDS_data_correct limits_missing_ocean_coastal_box landlocked_2_degree_box data_unusable_SF_AF_PF_only data_missing_or_uncomputable,,QC/Trimming flag SST http://icoads.noaa.gov/e-doc/stat_trim,,,
,,AF-TRIMMING_FLAG_AT,char,station time,,1,15,blank,Trimming Flag - Air Temperature,1 2 3 4 5 6 7 11 12 13 14 15,,time alt lat lon,,1,,integer,within_plus_minus_2.8_sigma minus_3.5_sigma_to_minus_2.8_sigma 2.8_sigma_to_3.5_sigma minus_4.5_sigma_to_minus_3.5_sigma 3.5_sigma_to_4.5_sigma less_than_minus_4.5_sigma greater_than_4.5_sigma limits_missing_ocean_coastal_box_MEDS_data_correct limits_missing_ocean_coastal_box landlocked_2_degree_box data_unusable_SF_AF_PF_only data_missing_or_uncomputable,,QC/Trimming flag Air Temp http://icoads.noaa.gov/e-doc/stat_trim,,,
,,UF-TRIMMING_FLAG_U_WIND,char,station time,,1,15,blank,Trimming Flag - U Wind Component,1 2 3 4 5 6 7 11 12 13 14 15,,time alt lat lon,,1,,integer,within_plus_minus_2.8_sigma minus_3.5_sigma_to_minus_2.8_sigma 2.8_sigma_to_3.5_sigma minus_4.5_sigma_to_minus_3.5_sigma 3.5_sigma_to_4.5_sigma less_than_minus_4.5_sigma greater_than_4.5_sigma limits_missing_ocean_coastal_box_MEDS_data_correct limits_missing_ocean_coastal_box landlocked_2_degree_box data_unusable_SF_AF_PF_only data_missing_or_uncomputable,,QC/Trimming flag U Wind http://icoads.noaa.gov/e-doc/stat_trim,,,
,,VF-TRIMMING_FLAG_V_WIND,char,station time,,1,15,blank,Trimming Flag - V Wind Component,1 2 3 4 5 6 7 11 12 13 14 15,,time alt lat lon,,1,,integer,within_plus_minus_2.8_sigma minus_3.5_sigma_to_minus_2.8_sigma 2.8_sigma_to_3.5_sigma minus_4.5_sigma_to_minus_3.5_sigma 3.5_sigma_to_4.5_sigma less_than_minus_4.5_sigma greater_than_4.5_sigma limits_missing_ocean_coastal_box_MEDS_data_correct limits_missing_ocean_coastal_box landlocked_2_degree_box data_unusable_SF_AF_PF_only data_missing_or_uncomputable,,QC/Trimming flag V Wind http://icoads.noaa.gov/e-doc/stat_trim,,,
,,PF-TRIMMING_FLAG_SLP,char,station time,,1,15,blank,Trimming Flag - Sea Level Pressure,1 2 3 4 5 6 7 11 12 13 14 15,,time alt lat lon,,1,,integer,within_plus_minus_2.8_sigma minus_3.5_sigma_to_minus_2.8_sigma 2.8_sigma_to_3.5_sigma minus_4.5_sigma_to_minus_3.5_sigma 3.5_sigma_to_4.5_sigma less_than_minus_4.5_sigma greater_than_4.5_sigma limits_missing_ocean_coastal_box_MEDS_data_correct limits_missing_ocean_coastal_box landlocked_2_degree_box data_unusable_SF_AF_PF_only data_missing_or_uncomputable,,QC/Trimming flag SLP http://icoads.noaa.gov/e-doc/stat_trim,,,
,,RF-TRIMMING_FLAG_RH,char,station time,,1,15,blank,Trimming Flag - Relative Humidity,1 2 3 4 5 6 7 11 12 13 14 15,,time alt lat lon,,1,,integer,within_plus_minus_2.8_sigma minus_3.5_sigma_to_minus_2.8_sigma 2.8_sigma_to_3.5_sigma minus_4.5_sigma_to_minus_3.5_sigma 3.5_sigma_to_4.5_sigma less_than_minus_4.5_sigma greater_than_4.5_sigma limits_missing_ocean_coastal_box_MEDS_data_correct limits_missing_ocean_coastal_box landlocked_2_degree_box data_unusable_SF_AF_PF_only data_missing_or_uncomputable,,QC/Trimming flag Relative Humidity http://icoads.noaa.gov/e-doc/stat_trim,,,
